Rank,Title,Studio,Worldwide,Domestic / %,,Overseas / %,,Year^
1,Avatar,Fox,"$2,788.00 ",$760.50 ,27.30%,"$2,027.50 ",72.70%,2009^
2,Titanic,Par.,"$2,187.50 ",$659.40 ,30.10%,"$1,528.10 ",69.90%,1997^
3,Star Wars: The Force Awakens,BV,"$2,068.20 ",$936.70 ,45.30%,"$1,131.60 ",54.70%,2015
4,Avengers: Infinity War,BV,"$2,046.50 ",$678.80 ,33.20%,"$1,367.70 ",66.80%,2018
5,Jurassic World,Uni.,"$1,671.70 ",$652.30 ,39.00%,"$1,019.40 ",61.00%,2015
6,Marvel's The Avengers,BV,"$1,518.80 ",$623.40 ,41.00%,$895.50 ,59.00%,2012
7,Furious 7,Uni.,"$1,516.00 ",$353.00 ,23.30%,"$1,163.00 ",76.70%,2015
8,Avengers: Age of Ultron,BV,"$1,405.40 ",$459.00 ,32.70%,$946.40 ,67.30%,2015
9,Black Panther,BV,"$1,346.90 ",$700.10 ,52.00%,$646.80 ,48.00%,2018
10,Harry Potter and the Deathly Hallows Part 2,WB,"$1,341.50 ",$381.00 ,28.40%,$960.50 ,71.60%,2011
11,Star Wars: The Last Jedi,BV,"$1,332.50 ",$620.20 ,46.50%,$712.40 ,53.50%,2017
12,Jurassic World: Fallen Kingdom,Uni.,"$1,304.80 ",$416.80 ,31.90%,$888.00 ,68.10%,2018
13,Frozen,BV,"$1,276.50 ",$400.70 ,31.40%,$875.70 ,68.60%,2013
14,Beauty and the Beast (2017),BV,"$1,263.50 ",$504.00 ,39.90%,$759.50 ,60.10%,2017
15,The Fate of the Furious,Uni.,"$1,236.00 ",$226.00 ,18.30%,"$1,010.00 ",81.70%,2017
16,Iron Man 3,BV,"$1,214.80 ",$409.00 ,33.70%,$805.80 ,66.30%,2013
17,Incredibles 2,BV,"$1,209.20 ",$606.80 ,50.20%,$602.40 ,49.80%,2018
18,Minions,Uni.,"$1,159.40 ",$336.00 ,29.00%,$823.40 ,71.00%,2015
19,Captain America: Civil War,BV,"$1,153.30 ",$408.10 ,35.40%,$745.20 ,64.60%,2016
20,Transformers: Dark of the Moon,P/DW,"$1,123.80 ",$352.40 ,31.40%,$771.40 ,68.60%,2011
21,The Lord of the Rings: The Return of the King,NL,"$1,119.90 ",$377.80 ,33.70%,$742.10 ,66.30%,2003^
22,Skyfall,Sony,"$1,108.60 ",$304.40 ,27.50%,$804.20 ,72.50%,2012
23,Transformers: Age of Extinction,Par.,"$1,104.10 ",$245.40 ,22.20%,$858.60 ,77.80%,2014
24,The Dark Knight Rises,WB,"$1,084.90 ",$448.10 ,41.30%,$636.80 ,58.70%,2012
25,Toy Story 3,BV,"$1,067.00 ",$415.00 ,38.90%,$652.00 ,61.10%,2010
26,Pirates of the Caribbean: Dead Man's Chest,BV,"$1,066.20 ",$423.30 ,39.70%,$642.90 ,60.30%,2006
27,Rogue One: A Star Wars Story,BV,"$1,056.10 ",$532.20 ,50.40%,$523.90 ,49.60%,2016
28,Pirates of the Caribbean: On Stranger Tides,BV,"$1,045.70 ",$241.10 ,23.10%,$804.60 ,76.90%,2011
29,Despicable Me 3,Uni.,"$1,034.80 ",$264.60 ,25.60%,$770.20 ,74.40%,2017
30,Jurassic Park,Uni.,"$1,029.20 ",$402.50 ,39.10%,$626.70 ,60.90%,1993^
31,Finding Dory,BV,"$1,028.60 ",$486.30 ,47.30%,$542.30 ,52.70%,2016
32,Star Wars: Episode I - The Phantom Menace,Fox,"$1,027.00 ",$474.50 ,46.20%,$552.50 ,53.80%,1999^
33,Alice in Wonderland (2010),BV,"$1,025.50 ",$334.20 ,32.60%,$691.30 ,67.40%,2010
34,Zootopia,BV,"$1,023.80 ",$341.30 ,33.30%,$682.50 ,66.70%,2016
35,The Hobbit: An Unexpected Journey,WB (NL),"$1,021.10 ",$303.00 ,29.70%,$718.10 ,70.30%,2012
36,The Dark Knight,WB,"$1,004.60 ",$534.90 ,53.20%,$469.70 ,46.80%,2008^
37,Harry Potter and the Sorcerer's Stone,WB,$974.80 ,$317.60 ,32.60%,$657.20 ,67.40%,2001
38,Despicable Me 2,Uni.,$970.80 ,$368.10 ,37.90%,$602.70 ,62.10%,2013
39,The Lion King,BV,$968.50 ,$422.80 ,43.70%,$545.70 ,56.30%,1994^
40,The Jungle Book (2016),BV,$966.60 ,$364.00 ,37.70%,$602.50 ,62.30%,2016
41,Pirates of the Caribbean: At World's End,BV,$963.40 ,$309.40 ,32.10%,$654.00 ,67.90%,2007
42,Jumanji: Welcome to the Jungle,Sony,$962.10 ,$404.50 ,42.00%,$557.60 ,58.00%,2017
43,Harry Potter and the Deathly Hallows Part 1,WB,$960.30 ,$296.00 ,30.80%,$664.30 ,69.20%,2010
44,The Hobbit: The Desolation of Smaug,WB (NL),$958.40 ,$258.40 ,27.00%,$700.00 ,73.00%,2013
45,The Hobbit: The Battle of the Five Armies,WB (NL),$956.00 ,$255.10 ,26.70%,$700.90 ,73.30%,2014
46,Finding Nemo,BV,$940.30 ,$380.80 ,40.50%,$559.50 ,59.50%,2003^
47,Harry Potter and the Order of the Phoenix,WB,$939.90 ,$292.00 ,31.10%,$647.90 ,68.90%,2007
48,Harry Potter and the Half-Blood Prince,WB,$934.40 ,$302.00 ,32.30%,$632.50 ,67.70%,2009
49,The Lord of the Rings: The Two Towers,NL,$926.00 ,$342.60 ,37.00%,$583.50 ,63.00%,2002^
50,Shrek 2,DW,$919.80 ,$441.20 ,48.00%,$478.60 ,52.00%,2004
51,Harry Potter and the Goblet of Fire,WB,$896.90 ,$290.00 ,32.30%,$606.90 ,67.70%,2005
52,Spider-Man 3,Sony,$890.90 ,$336.50 ,37.80%,$554.30 ,62.20%,2007
53,Ice Age: Dawn of the Dinosaurs,Fox,$886.70 ,$196.60 ,22.20%,$690.10 ,77.80%,2009
54,Spectre,Sony,$880.70 ,$200.10 ,22.70%,$680.60 ,77.30%,2015
55,Spider-Man: Homecoming,Sony,$880.20 ,$334.20 ,38.00%,$546.00 ,62.00%,2017
56,Harry Potter and the Chamber of Secrets,WB,$879.00 ,$262.00 ,29.80%,$617.00 ,70.20%,2002
57,Ice Age: Continental Drift,Fox,$877.20 ,$161.30 ,18.40%,$715.90 ,81.60%,2012
58,The Secret Life of Pets,Uni.,$875.50 ,$368.40 ,42.10%,$507.10 ,57.90%,2016
59,Batman v Superman: Dawn of Justice,WB,$873.60 ,$330.40 ,37.80%,$543.30 ,62.20%,2016
60,The Lord of the Rings: The Fellowship of the Ring,NL,$871.50 ,$315.50 ,36.20%,$556.00 ,63.80%,2001^
61,Wolf Warrior 2,HC,$870.30 ,$2.70 ,0.30%,$867.60 ,99.70%,2017
62,The Hunger Games: Catching Fire,LGF,$865.00 ,$424.70 ,49.10%,$440.30 ,50.90%,2013
63,Guardians of the Galaxy Vol. 2,BV,$863.80 ,$389.80 ,45.10%,$473.90 ,54.90%,2017
64,Inside Out,BV,$857.60 ,$356.50 ,41.60%,$501.10 ,58.40%,2015
65,Thor: Ragnarok,BV,$854.00 ,$315.10 ,36.90%,$538.90 ,63.10%,2017
66,Star Wars: Episode III - Revenge of the Sith,Fox,$848.80 ,$380.30 ,44.80%,$468.50 ,55.20%,2005^
67,Transformers: Revenge of the Fallen,P/DW,$836.30 ,$402.10 ,48.10%,$434.20 ,51.90%,2009
68,The Twilight Saga: Breaking Dawn Part 2,LG/S,$829.70 ,$292.30 ,35.20%,$537.40 ,64.80%,2012
69,Inception,WB,$828.30 ,$292.60 ,35.30%,$535.70 ,64.70%,2010
70,Wonder Woman,WB,$821.80 ,$412.60 ,50.20%,$409.30 ,49.80%,2017
71,Spider-Man,Sony,$821.70 ,$403.70 ,49.10%,$418.00 ,50.90%,2002
72,Independence Day,Fox,$817.40 ,$306.20 ,37.50%,$511.20 ,62.50%,1996^
73,Fantastic Beasts and Where To Find Them,WB,$814.00 ,$234.00 ,28.80%,$580.00 ,71.20%,2016
74,Coco,BV,$807.10 ,$209.70 ,26.00%,$597.40 ,74.00%,2017
75,Shrek the Third,P/DW,$799.00 ,$322.70 ,40.40%,$476.20 ,59.60%,2007
76,Harry Potter and the Prisoner of Azkaban,WB,$796.70 ,$249.50 ,31.30%,$547.10 ,68.70%,2004
77,Pirates of the Caribbean: Dead Men Tell No Tales,BV,$794.90 ,$172.60 ,21.70%,$622.30 ,78.30%,2017
78,E.T.: The Extra-Terrestrial,Uni.,$792.90 ,$435.10 ,54.90%,$357.80 ,45.10%,1982^
79,Mission: Impossible - Fallout,Par.,$789.90 ,$219.40 ,27.80%,$570.50 ,72.20%,2018
80,Fast & Furious 6,Uni.,$788.70 ,$238.70 ,30.30%,$550.00 ,69.70%,2013
81,Indiana Jones and the Kingdom of the Crystal Skull,Par.,$786.60 ,$317.10 ,40.30%,$469.50 ,59.70%,2008
82,Spider-Man 2,Sony,$783.80 ,$373.60 ,47.70%,$410.20 ,52.30%,2004
83,Deadpool,Fox,$783.10 ,$363.10 ,46.40%,$420.00 ,53.60%,2016
84,Star Wars,Fox,$775.40 ,$461.00 ,59.50%,$314.40 ,40.50%,1977^
85,Guardians of the Galaxy,BV,$773.30 ,$333.20 ,43.10%,$440.20 ,56.90%,2014
86,2012,Sony,$769.70 ,$166.10 ,21.60%,$603.60 ,78.40%,2009
87,Maleficent,BV,$758.50 ,$241.40 ,31.80%,$517.10 ,68.20%,2014
88,The Da Vinci Code,Sony,$758.20 ,$217.50 ,28.70%,$540.70 ,71.30%,2006
89,The Amazing Spider-Man,Sony,$757.90 ,$262.00 ,34.60%,$495.90 ,65.40%,2012
90,The Hunger Games: Mockingjay - Part 1,LGF,$755.40 ,$337.10 ,44.60%,$418.20 ,55.40%,2014
91,Shrek Forever After,P/DW,$752.60 ,$238.70 ,31.70%,$513.90 ,68.30%,2010
92,X-Men: Days of Future Past,Fox,$747.90 ,$233.90 ,31.30%,$513.90 ,68.70%,2014
93,Madagascar 3: Europe's Most Wanted,P/DW,$746.90 ,$216.40 ,29.00%,$530.50 ,71.00%,2012
94,Suicide Squad,WB,$746.80 ,$325.10 ,43.50%,$421.70 ,56.50%,2016
95,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,$745.00 ,$291.70 ,39.20%,$453.30 ,60.80%,2005
96,Monsters University,BV,$744.20 ,$268.50 ,36.10%,$475.70 ,63.90%,2013
97,The Matrix Reloaded,WB,$742.10 ,$281.60 ,37.90%,$460.60 ,62.10%,2003
98,Up,BV,$735.10 ,$293.00 ,39.90%,$442.10 ,60.10%,2009
99,Deadpool 2,Fox,$734.20 ,$318.50 ,43.40%,$415.80 ,56.60%,2018
100,Gravity,WB,$723.20 ,$274.10 ,37.90%,$449.10 ,62.10%,2013
Rank,Title,Studio,Worldwide,Domestic / %,,Overseas / %,,Year^
101,Captain America: The Winter Soldier,BV,$714.30 ,$259.80 ,36.40%,$454.50 ,63.60%,2014
102,The Twilight Saga: Breaking Dawn Part 1,Sum.,$712.20 ,$281.30 ,39.50%,$430.90 ,60.50%,2011
103,Dawn of the Planet of the Apes,Fox,$710.60 ,$208.50 ,29.30%,$502.10 ,70.70%,2014
104,The Twilight Saga: New Moon,Sum.,$709.70 ,$296.60 ,41.80%,$413.10 ,58.20%,2009
105,Transformers,P/DW,$709.70 ,$319.20 ,45.00%,$390.50 ,55.00%,2007
106,The Amazing Spider-Man 2,Sony,$709.00 ,$202.90 ,28.60%,$506.10 ,71.40%,2014
107,It,WB (NL),$700.40 ,$327.50 ,46.80%,$372.90 ,53.20%,2017
108,The Twilight Saga: Eclipse,Sum.,$698.50 ,$300.50 ,43.00%,$398.00 ,57.00%,2010
109,Mission: Impossible - Ghost Protocol,Par.,$694.70 ,$209.40 ,30.10%,$485.30 ,69.90%,2011
110,The Hunger Games,LGF,$694.40 ,$408.00 ,58.80%,$286.40 ,41.20%,2012
111,Mission: Impossible - Rogue Nation,Par.,$682.70 ,$195.00 ,28.60%,$487.70 ,71.40%,2015
112,Forrest Gump,Par.,$677.90 ,$330.30 ,48.70%,$347.70 ,51.30%,1994^
113,Doctor Strange,BV,$677.70 ,$232.60 ,34.30%,$445.10 ,65.70%,2016
114,Interstellar,Par.,$677.50 ,$188.00 ,27.80%,$489.40 ,72.20%,2014
115,The Sixth Sense,BV,$672.80 ,$293.50 ,43.60%,$379.30 ,56.40%,1999
116,Man of Steel,WB,$668.00 ,$291.00 ,43.60%,$377.00 ,56.40%,2013
117,Kung Fu Panda 2,P/DW,$665.70 ,$165.20 ,24.80%,$500.40 ,75.20%,2011
118,Ice Age: The Meltdown,Fox,$660.90 ,$195.30 ,29.60%,$465.60 ,70.40%,2006
119,Justice League,WB,$657.90 ,$229.00 ,34.80%,$428.90 ,65.20%,2017
120,Big Hero 6,BV,$657.80 ,$222.50 ,33.80%,$435.30 ,66.20%,2014
121,Pirates of the Caribbean: The Curse of the Black Pearl,BV,$654.30 ,$305.40 ,46.70%,$348.90 ,53.30%,2003
122,The Hunger Games: Mockingjay - Part 2,LGF,$653.40 ,$281.70 ,43.10%,$371.70 ,56.90%,2015
123,Star Wars: Episode II - Attack of the Clones,Fox,$649.40 ,$310.70 ,47.80%,$338.70 ,52.20%,2002^
124,Thor: The Dark World,BV,$644.60 ,$206.40 ,32.00%,$438.20 ,68.00%,2013
125,Moana,BV,$643.30 ,$248.80 ,38.70%,$394.60 ,61.30%,2016
126,Sing,Uni.,$634.20 ,$270.40 ,42.60%,$363.80 ,57.40%,2016
127,The Incredibles,BV,$633.00 ,$261.40 ,41.30%,$371.60 ,58.70%,2004
128,Kung Fu Panda,P/DW,$631.70 ,$215.40 ,34.10%,$416.30 ,65.90%,2008
129,The Martian,Fox,$630.20 ,$228.40 ,36.20%,$401.70 ,63.80%,2015
130,Fast Five,Uni.,$626.10 ,$209.80 ,33.50%,$416.30 ,66.50%,2011
131,Hancock,Sony,$624.40 ,$227.90 ,36.50%,$396.40 ,63.50%,2008
132,MIB 3,Sony,$624.00 ,$179.00 ,28.70%,$445.00 ,71.30%,2012
133,Iron Man 2,Par.,$623.90 ,$312.40 ,50.10%,$311.50 ,49.90%,2010
134,How to Train Your Dragon 2,Fox,$621.50 ,$177.00 ,28.50%,$444.50 ,71.50%,2014
135,Ant-Man and the Wasp,BV,$621.50 ,$216.20 ,34.80%,$405.20 ,65.20%,2018
136,Ratatouille,BV,$620.70 ,$206.40 ,33.30%,$414.30 ,66.70%,2007
137,Logan,Fox,$619.00 ,$226.30 ,36.60%,$392.70 ,63.40%,2017
138,The Lost World: Jurassic Park,Uni.,$618.60 ,$229.10 ,37.00%,$389.60 ,63.00%,1997
139,The Passion of the Christ,NM,$611.90 ,$370.80 ,60.60%,$241.10 ,39.40%,2004^
140,Mamma Mia!,Uni.,$609.80 ,$144.10 ,23.60%,$465.70 ,76.40%,2008
141,Life of Pi,Fox,$609.00 ,$125.00 ,20.50%,$484.00 ,79.50%,2012
142,Transformers: The Last Knight,Par.,$605.40 ,$130.20 ,21.50%,$475.30 ,78.50%,2017
143,Madagascar: Escape 2 Africa,P/DW,$603.90 ,$180.00 ,29.80%,$423.90 ,70.20%,2008
144,Casino Royale,Sony,$599.00 ,$167.40 ,28.00%,$431.60 ,72.00%,2006
145,Tangled,BV,$591.80 ,$200.80 ,33.90%,$391.00 ,66.10%,2010
146,War of the Worlds,Par.,$591.70 ,$234.30 ,39.60%,$357.50 ,60.40%,2005
147,Men in Black,Sony,$589.40 ,$250.70 ,42.50%,$338.70 ,57.50%,1997
148,The Croods,Fox,$587.20 ,$187.20 ,31.90%,$400.00 ,68.10%,2013
149,The Hangover Part II,WB,$586.80 ,$254.50 ,43.40%,$332.30 ,56.60%,2011
150,Quantum of Solace,Sony,$586.10 ,$168.40 ,28.70%,$417.70 ,71.30%,2008
151,I Am Legend,WB,$585.30 ,$256.40 ,43.80%,$329.00 ,56.20%,2007
152,Iron Man,Par.,$585.20 ,$318.40 ,54.40%,$266.80 ,45.60%,2008
153,Ready Player One,WB,$582.20 ,$137.00 ,23.50%,$445.20 ,76.50%,2018
154,Operation Red Sea,WGUSA,$579.20 ,$1.50 ,0.30%,$577.70 ,99.70%,2018
155,"Monsters, Inc.",BV,$577.40 ,$289.90 ,50.20%,$287.50 ,49.80%,2001^
156,Night at the Museum,Fox,$574.50 ,$250.90 ,43.70%,$323.60 ,56.30%,2006
157,Fifty Shades of Grey,Uni.,$571.00 ,$166.20 ,29.10%,$404.80 ,70.90%,2015
158,Kong: Skull Island,WB,$566.70 ,$168.10 ,29.70%,$398.60 ,70.30%,2017
159,The Smurfs,Sony,$563.70 ,$142.60 ,25.30%,$421.10 ,74.70%,2011
160,Cars 2,BV,$562.10 ,$191.50 ,34.10%,$370.70 ,65.90%,2011
161,Puss in Boots,P/DW,$555.00 ,$149.30 ,26.90%,$405.70 ,73.10%,2011
162,The Mermaid (Mei ren yu),Sony,$553.80 ,$3.20 ,0.60%,$550.60 ,99.40%,2016
163,Armageddon,BV,$553.70 ,$201.60 ,36.40%,$352.10 ,63.60%,1998
164,King Kong,Uni.,$550.50 ,$218.10 ,39.60%,$332.40 ,60.40%,2005
165,Ted,Uni.,$549.40 ,$218.80 ,39.80%,$330.60 ,60.20%,2012
166,American Sniper,WB,$547.40 ,$350.10 ,64.00%,$197.30 ,36.00%,2014
167,Mission: Impossible II,Par.,$546.40 ,$215.40 ,39.40%,$331.00 ,60.60%,2000
168,Sherlock Holmes: A Game of Shadows,WB,$545.40 ,$186.80 ,34.30%,$358.60 ,65.70%,2011
169,The Day After Tomorrow,Fox,$544.30 ,$186.70 ,34.30%,$357.50 ,65.70%,2004
170,Detective Chinatown 2,WB,$544.10 ,$2.00 ,0.40%,$542.10 ,99.60%,2018
171,X-Men: Apocalypse,Fox,$543.90 ,$155.40 ,28.60%,$388.50 ,71.40%,2016
172,Cinderella (2015),BV,$543.50 ,$201.20 ,37.00%,$342.40 ,63.00%,2015
173,Despicable Me,Uni.,$543.10 ,$251.50 ,46.30%,$291.60 ,53.70%,2010
174,Brave,BV,$540.40 ,$237.30 ,43.90%,$303.20 ,56.10%,2012
175,World War Z,Par.,$540.00 ,$202.40 ,37.50%,$337.60 ,62.50%,2013
176,The Empire Strikes Back,Fox,$538.40 ,$290.50 ,54.00%,$247.90 ,46.00%,1980^
177,WALL-E,BV,$533.30 ,$223.80 ,42.00%,$309.50 ,58.00%,2008
178,The Revenant,Fox,$533.00 ,$183.60 ,34.50%,$349.30 ,65.50%,2015
179,Madagascar,DW,$532.70 ,$193.60 ,36.30%,$339.10 ,63.70%,2005
180,Godzilla (2014),WB,$529.10 ,$200.70 ,37.90%,$328.40 ,62.10%,2014
181,The Boss Baby,Fox,$528.00 ,$175.00 ,33.10%,$353.00 ,66.90%,2017
182,Dunkirk,WB,$527.30 ,$190.10 ,36.00%,$337.20 ,64.00%,2017^
183,The Simpsons Movie,Fox,$527.10 ,$183.10 ,34.70%,$343.90 ,65.30%,2007
184,The Meg,WB,$525.40 ,$142.20 ,27.10%,$383.20 ,72.90%,2018
185,Sherlock Holmes,WB,$524.00 ,$209.00 ,39.90%,$315.00 ,60.10%,2009
186,Kung Fu Panda 3,Fox,$521.20 ,$143.50 ,27.50%,$377.60 ,72.50%,2016
187,Terminator 2: Judgment Day,TriS,$520.90 ,$205.90 ,39.50%,$315.00 ,60.50%,1991^
188,Ant-Man,BV,$519.30 ,$180.20 ,34.70%,$339.10 ,65.30%,2015
189,Meet the Fockers,Uni.,$516.60 ,$279.30 ,54.10%,$237.40 ,45.90%,2004
190,Hotel Transylvania 3: Summer Vacation,Sony,$511.60 ,$166.40 ,32.50%,$345.20 ,67.50%,2018
191,Ghost,Par.,$505.70 ,$217.60 ,43.00%,$288.10 ,57.00%,1990
192,Aladdin,BV,$504.10 ,$217.40 ,43.10%,$286.70 ,56.90%,1992
193,Rio 2,Fox,$500.10 ,$131.50 ,26.30%,$368.60 ,73.70%,2014
194,Troy,WB,$497.40 ,$133.40 ,26.80%,$364.00 ,73.20%,2004
195,Toy Story 2,BV,$497.40 ,$245.90 ,49.40%,$251.50 ,50.60%,1999^
196,How to Train Your Dragon,P/DW,$494.90 ,$217.60 ,44.00%,$277.30 ,56.00%,2010
197,Twister,WB,$494.50 ,$241.70 ,48.90%,$252.80 ,51.10%,1996
198,Teenage Mutant Ninja Turtles (2014),Par.,$493.30 ,$191.20 ,38.80%,$302.10 ,61.20%,2014
199,Oz The Great and Powerful,BV,$493.30 ,$234.90 ,47.60%,$258.40 ,52.40%,2013
200,Clash of the Titans (2010),WB,$493.20 ,$163.20 ,33.10%,$330.00 ,66.90%,2010
Rank,Title,Studio,Worldwide,Domestic / %,,Overseas / %,,Year^
201,War for the Planet of the Apes,Fox,$490.70 ,$146.90 ,29.90%,$343.80 ,70.10%,2017
202,Angels & Demons,Sony,$485.90 ,$133.40 ,27.40%,$352.60 ,72.60%,2009
203,Rio,Fox,$484.60 ,$143.60 ,29.60%,$341.00 ,70.40%,2011
204,Bruce Almighty,Uni.,$484.60 ,$242.80 ,50.10%,$241.80 ,49.90%,2003
205,Shrek,DW,$484.40 ,$267.70 ,55.30%,$216.70 ,44.70%,2001
206,Saving Private Ryan,DW,$481.80 ,$216.50 ,44.90%,$265.30 ,55.10%,1998
207,Rise of the Planet of the Apes,Fox,$481.80 ,$176.80 ,36.70%,$305.00 ,63.30%,2011
208,Mr. & Mrs. Smith,Fox,$478.20 ,$186.30 ,39.00%,$291.90 ,61.00%,2005
209,Home Alone,Fox,$476.70 ,$285.80 ,59.90%,$190.90 ,40.10%,1990
210,Return of the Jedi,Fox,$475.10 ,$309.30 ,65.10%,$165.80 ,34.90%,1983^
211,Charlie and the Chocolate Factory,WB,$475.00 ,$206.50 ,43.50%,$268.50 ,56.50%,2005
212,Hotel Transylvania 2,Sony,$474.80 ,$169.70 ,35.70%,$305.10 ,64.30%,2015
213,Indiana Jones and the Last Crusade,Par.,$474.20 ,$197.20 ,41.60%,$277.00 ,58.40%,1989
214,San Andreas,WB (NL),$474.00 ,$155.20 ,32.70%,$318.80 ,67.30%,2015
215,Wreck-It Ralph,BV,$471.20 ,$189.40 ,40.20%,$281.80 ,59.80%,2012
216,Jaws,Uni.,$470.70 ,$260.00 ,55.20%,$210.70 ,44.80%,1975
217,The LEGO Movie,WB,$469.20 ,$257.80 ,54.90%,$211.40 ,45.10%,2014
218,The Hangover,WB,$467.50 ,$277.30 ,59.30%,$190.20 ,40.70%,2009
219,Star Trek Into Darkness,Par.,$467.40 ,$228.80 ,48.90%,$238.60 ,51.10%,2013
220,The Matrix,WB,$463.50 ,$171.50 ,37.00%,$292.00 ,63.00%,1999
221,Pretty Woman,BV,$463.40 ,$178.40 ,38.50%,$285.00 ,61.50%,1990
222,Lucy,Uni.,$463.40 ,$126.70 ,27.30%,$336.70 ,72.70%,2014
223,Cars,BV,$462.20 ,$244.10 ,52.80%,$218.10 ,47.20%,2006
224,Gladiator,DW,$460.60 ,$187.70 ,40.80%,$272.90 ,59.20%,2000
225,X-Men: The Last Stand,Fox,$459.40 ,$234.40 ,51.00%,$225.00 ,49.00%,2006
226,Mission: Impossible,Par.,$457.70 ,$181.00 ,39.50%,$276.70 ,60.50%,1996
227,National Treasure: Book of Secrets,BV,$457.40 ,$220.00 ,48.10%,$237.40 ,51.90%,2007
228,The Last Samurai,WB,$456.80 ,$111.10 ,24.30%,$345.60 ,75.70%,2003
229,300,WB,$456.10 ,$210.60 ,46.20%,$245.50 ,53.80%,2007
230,Ocean's Eleven,WB,$450.70 ,$183.40 ,40.70%,$267.30 ,59.30%,2001
231,Thor,Par.,$449.30 ,$181.00 ,40.30%,$268.30 ,59.70%,2011
232,Pearl Harbor,BV,$449.20 ,$198.50 ,44.20%,$250.70 ,55.80%,2001
233,Tarzan,BV,$448.20 ,$171.10 ,38.20%,$277.10 ,61.80%,1999
234,La La Land,LG/S,$446.10 ,$151.10 ,33.90%,$295.00 ,66.10%,2016
235,Alvin and the Chipmunks: The Squeakquel,Fox,$443.10 ,$219.60 ,49.60%,$223.50 ,50.40%,2009
236,The Bourne Ultimatum,Uni.,$442.80 ,$227.50 ,51.40%,$215.40 ,48.60%,2007
237,Men in Black II,Sony,$441.80 ,$190.40 ,43.10%,$251.40 ,56.90%,2002
238,Les Miserables (2012),Uni.,$441.80 ,$148.80 ,33.70%,$293.00 ,66.30%,2012
239,The Exorcist,WB,$441.30 ,$232.90 ,52.80%,$208.40 ,47.20%,1973^
240,Mrs. Doubtfire,Fox,$441.30 ,$219.20 ,49.70%,$222.10 ,50.30%,1993
241,Terminator: Genisys,Par.,$440.60 ,$89.80 ,20.40%,$350.80 ,79.60%,2015
242,The Greatest Showman,Fox,$435.00 ,$174.30 ,40.10%,$260.70 ,59.90%,2017
