Rank,Title,Studio,Worldwide,Domestic / %,,Overseas / %,,Year^
494,The Bourne Legacy,Uni.,$276.10 ,$113.20 ,41.00%,$162.90 ,59.00%,2012
495,Spirited Away,BV,$276.10 ,$11.30 ,4.10%,$264.90 ,95.90%,2002^
496,Mr. Peabody & Sherman,Fox,$275.70 ,$111.50 ,40.40%,$164.20 ,59.60%,2014
497,Scooby-Doo,WB,$275.70 ,$153.30 ,55.60%,$122.40 ,44.40%,2002
498,Lincoln,BV,$275.30 ,$182.20 ,66.20%,$93.10 ,33.80%,2012
499,Lara Croft: Tomb Raider,Par.,$274.70 ,$131.20 ,47.70%,$143.50 ,52.30%,2001
500,The Expendables,LGF,$274.50 ,$103.10 ,37.60%,$171.40 ,62.40%,2010
Rank,Title,Studio,Worldwide,Domestic / %,,Overseas / %,,Year^
501,Cloudy with a Chance of Meatballs 2,Sony,$274.30 ,$119.80 ,43.70%,$154.50 ,56.30%,2013
502,The Nutty Professor (1996),Uni.,$274.00 ,$128.80 ,47.00%,$145.10 ,53.00%,1996
503,Tomb Raider,WB,$273.80 ,$57.40 ,21.00%,$216.40 ,79.00%,2018
504,Jerry Maguire,Sony,$273.60 ,$154.00 ,56.30%,$119.60 ,43.70%,1996
505,Bad Boys II,Sony,$273.30 ,$138.60 ,50.70%,$134.70 ,49.30%,2003
506,Lilo & Stitch,BV,$273.10 ,$145.80 ,53.40%,$127.30 ,46.60%,2002
507,The Silence of the Lambs,Orion,$272.70 ,$130.70 ,47.90%,$142.00 ,52.10%,1991
508,Grown Ups,Sony,$271.40 ,$162.00 ,59.70%,$109.40 ,40.30%,2010
509,Neighbors,Uni.,$270.70 ,$150.20 ,55.50%,$120.50 ,44.50%,2014
510,The Firm,Par.,$270.20 ,$158.30 ,58.60%,$111.90 ,41.40%,1993
511,We're the Millers,WB (NL),$270.00 ,$150.40 ,55.70%,$119.60 ,44.30%,2013
512,Gran Torino,WB,$270.00 ,$148.10 ,54.90%,$121.90 ,45.10%,2008
513,"10,000 B.C.",WB,$269.80 ,$94.80 ,35.10%,$175.00 ,64.90%,2008
514,Epic,Fox,$268.40 ,$107.50 ,40.10%,$160.90 ,59.90%,2013
515,Exodus: Gods and Kings,Fox,$268.20 ,$65.00 ,24.20%,$203.20 ,75.80%,2014
516,Paddington,W/Dim.,$268.00 ,$76.30 ,28.50%,$191.80 ,71.50%,2015
517,Bambi,RKO,$267.40 ,$102.20 ,38.20%,$165.20 ,61.80%,1942^
518,The Princess and the Frog,BV,$267.00 ,$104.40 ,39.10%,$162.60 ,60.90%,2009
519,Batman Returns,WB,$266.80 ,$162.80 ,61.00%,$104.00 ,39.00%,1992
520,Something's Gotta Give,Sony,$266.70 ,$124.70 ,46.80%,$142.00 ,53.20%,2003
521,Indecent Proposal,Par.,$266.60 ,$106.60 ,40.00%,$160.00 ,60.00%,1993
522,American Gangster,Uni.,$266.50 ,$130.20 ,48.80%,$136.30 ,51.20%,2007
523,Waterworld,Uni.,$264.20 ,$88.20 ,33.40%,$176.00 ,66.60%,1995
524,The Truman Show,Par.,$264.10 ,$125.60 ,47.60%,$138.50 ,52.40%,1998
525,Charlie's Angels,Sony,$264.10 ,$125.30 ,47.40%,$138.80 ,52.60%,2000
526,The Fifth Element,Sony,$263.90 ,$63.80 ,24.20%,$200.10 ,75.80%,1997^
527,The Incredible Hulk,Uni.,$263.40 ,$134.80 ,51.20%,$128.60 ,48.80%,2008
528,Jumanji,Sony,$262.80 ,$100.50 ,38.20%,$162.30 ,61.80%,1995
529,Bridget Jones: The Edge of Reason,Uni.,$262.50 ,$40.20 ,15.30%,$222.30 ,84.70%,2004
530,Knight & Day,Fox,$261.90 ,$76.40 ,29.20%,$185.50 ,70.80%,2010
531,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,$261.60 ,$128.50 ,49.10%,$133.10 ,50.90%,2006
532,Total Recall,Sony,$261.30 ,$119.40 ,45.70%,$141.90 ,54.30%,1990^
533,Michael Jackson's This Is It,Sony,$261.20 ,$72.10 ,27.60%,$189.10 ,72.40%,2009
534,Robots,Fox,$260.70 ,$128.20 ,49.20%,$132.50 ,50.80%,2005
535,The Lone Ranger,BV,$260.50 ,$89.30 ,34.30%,$171.20 ,65.70%,2013
536,Super 8,Par.,$260.10 ,$127.00 ,48.80%,$133.10 ,51.20%,2011
537,Mojin: The Lost Legend,WGUSA,$259.40 ,$1.20 ,0.50%,$258.10 ,99.50%,2015
538,Blade Runner 2049,WB,$259.20 ,$92.10 ,35.50%,$167.20 ,64.50%,2017
539,Charlie's Angels: Full Throttle,Sony,$259.20 ,$100.80 ,38.90%,$158.30 ,61.10%,2003
540,Rush Hour 3,NL,$258.00 ,$140.10 ,54.30%,$117.90 ,45.70%,2007
541,The Full Monty,FoxS,$257.90 ,$46.00 ,17.80%,$212.00 ,82.20%,1997
542,Annabelle,WB (NL),$257.00 ,$84.30 ,32.80%,$172.80 ,67.20%,2014
543,The Village,BV,$256.70 ,$114.20 ,44.50%,$142.50 ,55.50%,2004
544,Lost in Hong Kong,WGUSA,$256.30 ,$1.30 ,0.50%,$255.00 ,99.50%,2015
545,Erin Brockovich,Uni.,$256.30 ,$125.60 ,49.00%,$130.70 ,51.00%,2000
546,Get Out,Uni.,$255.50 ,$176.00 ,68.90%,$79.40 ,31.10%,2017
547,Cliffhanger,TriS,$255.00 ,$84.00 ,33.00%,$171.00 ,67.00%,1993
548,Kung Fu Yoga,WGUSA,$254.20 ,$363k,0.10%,$253.80 ,99.90%,2017
549,Baahubali 2: The Conclusion,GrtIndia,$254.20 ,$20.20 ,7.90%,$234.00 ,92.10%,2017
550,Babe,Uni.,$254.10 ,$63.70 ,25.00%,$190.50 ,75.00%,1995
551,Wild Hogs,BV,$253.60 ,$168.30 ,66.30%,$85.40 ,33.70%,2007
552,High School Musical 3: Senior Year,BV,$252.90 ,$90.60 ,35.80%,$162.30 ,64.20%,2008
553,Hercules,BV,$252.70 ,$99.10 ,39.20%,$153.60 ,60.80%,1997
554,True Grit,Par.,$252.30 ,$171.20 ,67.90%,$81.00 ,32.10%,2010
555,Bean,Gram.,$251.20 ,$45.30 ,18.00%,$205.90 ,82.00%,1997
556,American Hustle,Sony,$251.20 ,$150.10 ,59.80%,$101.10 ,40.20%,2013
557,You've Got Mail,WB,$250.80 ,$115.80 ,46.20%,$135.00 ,53.80%,1998
558,Enemy of the State,BV,$250.60 ,$111.50 ,44.50%,$139.10 ,55.50%,1998
559,Brother Bear,BV,$250.40 ,$85.30 ,34.10%,$165.10 ,65.90%,2003
560,The Mask of Zorro,Sony,$250.30 ,$94.10 ,37.60%,$156.20 ,62.40%,1998
561,Eragon,Fox,$249.50 ,$75.00 ,30.10%,$174.50 ,69.90%,2006
562,The Ring,DW,$249.30 ,$129.10 ,51.80%,$120.20 ,48.20%,2002
563,The Blair Witch Project,Art.,$248.60 ,$140.50 ,56.50%,$108.10 ,43.50%,1999
564,Unbreakable,BV,$248.10 ,$95.00 ,38.30%,$153.10 ,61.70%,2000
565,Dumb and Dumber,NL,$247.30 ,$127.20 ,51.40%,$120.10 ,48.60%,1994
566,Grown Ups 2,Sony,$247.00 ,$133.70 ,54.10%,$113.30 ,45.90%,2013
567,Love Actually,Uni.,$246.90 ,$59.70 ,24.20%,$187.20 ,75.80%,2003
568,Journey to the West: The Demons Strike Back,Sony,$246.60 ,$880k,0.40%,$245.70 ,99.60%,2017
569,The Peanuts Movie,Fox,$246.20 ,$130.20 ,52.90%,$116.10 ,47.10%,2015
570,Rango,Par.,$245.70 ,$123.50 ,50.30%,$122.20 ,49.70%,2011
571,Four Weddings and a Funeral,Gram.,$245.70 ,$52.70 ,21.40%,$193.00 ,78.60%,1994
572,Face/Off,Par.,$245.70 ,$112.30 ,45.70%,$133.40 ,54.30%,1997
573,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,$245.60 ,$82.10 ,33.40%,$163.60 ,66.60%,2016
574,Dark Shadows,WB,$245.50 ,$79.70 ,32.50%,$165.80 ,67.50%,2012
575,Hulk,Uni.,$245.40 ,$132.20 ,53.90%,$113.20 ,46.10%,2003
576,Bienvenue chez les Ch'tis,N/A,$245.10 ,n/a,0.00%,$245.10 ,100.00%,0
577,The Godfather,Par.,$245.10 ,$135.00 ,55.10%,$110.10 ,44.90%,1972^
578,Pixels,Sony,$244.90 ,$78.70 ,32.20%,$166.10 ,67.80%,2015
579,Hercules (2014),Par.,$244.80 ,$72.70 ,29.70%,$172.10 ,70.30%,2014
580,Back to the Future Part III,Uni.,$244.50 ,$87.70 ,35.90%,$156.80 ,64.10%,1990
581,Rush Hour,NL,$244.40 ,$141.20 ,57.80%,$103.20 ,42.20%,1998
582,After Earth,Sony,$243.80 ,$60.50 ,24.80%,$183.30 ,75.20%,2013
583,A Few Good Men,Col.,$243.20 ,$141.30 ,58.10%,$101.90 ,41.90%,1992
584,Cloudy with a Chance of Meatballs,Sony,$243.00 ,$124.90 ,51.40%,$118.10 ,48.60%,2009
585,8 Mile,Uni.,$242.90 ,$116.80 ,48.10%,$126.10 ,51.90%,2002
586,Daddy's Home,Par.,$242.80 ,$150.40 ,61.90%,$92.40 ,38.10%,2015
587,Marley and Me,Fox,$242.70 ,$143.20 ,59.00%,$99.60 ,41.00%,2008
588,RoboCop (2014),Sony,$242.70 ,$58.60 ,24.10%,$184.10 ,75.90%,2014
589,Eraser,WB,$242.30 ,$101.30 ,41.80%,$141.00 ,58.20%,1996
590,Journey to the Center of the Earth,WB (NL),$242.00 ,$101.70 ,42.00%,$140.30 ,58.00%,2008
591,Assassin's Creed,Fox,$240.90 ,$54.60 ,22.70%,$186.30 ,77.30%,2016
592,Alien: Covenant,Fox,$240.90 ,$74.30 ,30.80%,$166.60 ,69.20%,2017
593,Sully,WB,$240.80 ,$125.10 ,51.90%,$115.70 ,48.10%,2016
594,Die Hard 2: Die Harder,Fox,$240.00 ,$117.50 ,49.00%,$122.50 ,51.00%,1990
595,Resident Evil: Retribution,SGem,$240.00 ,$42.30 ,17.60%,$197.70 ,82.40%,2012
596,Crocodile Dundee II,Par.,$239.60 ,$109.30 ,45.60%,$130.30 ,54.40%,1988
597,Planes,BV,$239.30 ,$90.30 ,37.70%,$149.00 ,62.30%,2013
598,Batman and Robin,WB,$238.20 ,$107.30 ,45.10%,$130.90 ,54.90%,1997
599,Click,SonR,$237.70 ,$137.40 ,57.80%,$100.30 ,42.20%,2006
600,Gulliver's Travels,Fox,$237.40 ,$42.80 ,18.00%,$194.60 ,82.00%,2010
Rank,Title,Studio,Worldwide,Domestic / %,,Overseas / %,,Year^
601,Gone in 60 Seconds,BV,$237.20 ,$101.60 ,42.90%,$135.60 ,57.10%,2000
602,Saturday Night Fever,Par.,$237.10 ,$94.20 ,39.70%,$142.90 ,60.30%,1977
603,Silver Linings Playbook,Wein.,$236.40 ,$132.10 ,55.90%,$104.30 ,44.10%,2012
604,2 Fast 2 Furious,Uni.,$236.40 ,$127.20 ,53.80%,$109.20 ,46.20%,2003
605,Hidden Figures,Fox,$236.00 ,$169.60 ,71.90%,$66.30 ,28.10%,2016
606,A.I. Artificial Intelligence,WB,$235.90 ,$78.60 ,33.30%,$157.30 ,66.70%,2001
607,Dead Poets Society,BV,$235.90 ,$95.90 ,40.60%,$140.00 ,59.40%,1989
608,Spy,Fox,$235.70 ,$110.80 ,47.00%,$124.80 ,53.00%,2015
609,American Pie,Uni.,$235.50 ,$102.60 ,43.60%,$132.90 ,56.40%,1999
610,Howl's Moving Castle,BV,$235.20 ,$4.70 ,2.00%,$230.50 ,98.00%,2005
611,American Reunion,Uni.,$235.00 ,$57.00 ,24.30%,$178.00 ,75.70%,2012
612,Big Daddy,Sony,$234.80 ,$163.50 ,69.60%,$71.30 ,30.40%,1999
613,Alvin and the Chipmunks: The Road Chip,Fox,$234.80 ,$85.90 ,36.60%,$148.90 ,63.40%,2015
614,The Imitation Game,Wein.,$233.60 ,$91.10 ,39.00%,$142.40 ,61.00%,2014
615,The Day the Earth Stood Still (2008),Fox,$233.10 ,$79.40 ,34.00%,$153.70 ,66.00%,2008
616,The Girl with the Dragon Tattoo (2011),Sony,$232.60 ,$102.50 ,44.10%,$130.10 ,55.90%,2011
617,Argo,WB,$232.30 ,$136.00 ,58.50%,$96.30 ,41.50%,2012
618,The English Patient,Mira.,$232.00 ,$78.70 ,33.90%,$153.30 ,66.10%,1996
619,Sister Act,BV,$231.60 ,$139.60 ,60.30%,$92.00 ,39.70%,1992
620,American Wedding,Uni.,$231.40 ,$104.60 ,45.20%,$126.90 ,54.80%,2003
621,Juno,FoxS,$231.40 ,$143.50 ,62.00%,$87.90 ,38.00%,2007
622,Constantine,WB,$230.90 ,$76.00 ,32.90%,$154.90 ,67.10%,2005
623,Get Smart,WB,$230.70 ,$130.30 ,56.50%,$100.40 ,43.50%,2008
624,Space Jam,WB,$230.40 ,$90.40 ,39.20%,$140.00 ,60.80%,1996
625,The Heat,Fox,$229.90 ,$159.60 ,69.40%,$70.30 ,30.60%,2013
626,Mr. Bean's Holiday,Uni.,$229.70 ,$33.30 ,14.50%,$196.40 ,85.50%,2007
627,Life Is Beautiful,Mira.,$229.20 ,$57.60 ,25.10%,$171.60 ,74.90%,1998^
628,Ghostbusters (2016),Sony,$229.10 ,$128.40 ,56.00%,$100.80 ,44.00%,2016
629,Ghost Rider,Sony,$228.70 ,$115.80 ,50.60%,$112.90 ,49.40%,2007
630,Goodbye Mr. Loser,CL,$228.10 ,$1.30 ,0.60%,$226.80 ,99.40%,2015
631,Lethal Weapon 2,WB,$227.90 ,$147.30 ,64.60%,$80.60 ,35.40%,1989
632,The Green Hornet,Sony,$227.80 ,$98.80 ,43.40%,$129.00 ,56.60%,2011
633,Sleepless in Seattle,TriS,$227.80 ,$126.70 ,55.60%,$101.10 ,44.40%,1993
634,Out of Africa,Uni.,$227.50 ,$87.10 ,38.30%,$140.40 ,61.70%,1985
635,Baby Driver,TriS,$226.90 ,$107.80 ,47.50%,$119.10 ,52.50%,2017
636,Immortals,Rela.,$226.90 ,$83.50 ,36.80%,$143.40 ,63.20%,2011
637,Paddington 2,WB,$226.90 ,$40.40 ,17.80%,$186.40 ,82.20%,2018
638,Taken,Fox,$226.80 ,$145.00 ,63.90%,$81.80 ,36.10%,2009
639,Percy Jackson & The Olympians: The Lightning Thief,Fox,$226.50 ,$88.80 ,39.20%,$137.70 ,60.80%,2010
640,Hansel and Gretel: Witch Hunters,Par.,$226.30 ,$55.70 ,24.60%,$170.60 ,75.40%,2013
641,Good Will Hunting,Mira.,$225.90 ,$138.40 ,61.30%,$87.50 ,38.70%,1997
642,Valerian and the City of a Thousand Planets,STX,$225.90 ,$41.20 ,18.20%,$184.70 ,81.80%,2017
643,The Social Network,Sony,$224.90 ,$97.00 ,43.10%,$128.00 ,56.90%,2010
644,Chicken Run,DW,$224.80 ,$106.80 ,47.50%,$118.00 ,52.50%,2000
645,Con Air,BV,$224.00 ,$101.10 ,45.10%,$122.90 ,54.90%,1997
646,Interview with the Vampire,WB,$223.70 ,$105.30 ,47.10%,$118.40 ,52.90%,1994
647,Flightplan,BV,$223.40 ,$89.70 ,40.20%,$133.70 ,59.80%,2005
648,Yes Man,WB,$223.20 ,$97.70 ,43.80%,$125.60 ,56.20%,2008
649,Non-Stop,Uni.,$222.80 ,$92.20 ,41.40%,$130.60 ,58.60%,2014
650,"Honey, I Shrunk the Kids",BV,$222.70 ,$130.70 ,58.70%,$92.00 ,41.30%,1989
651,Fahrenheit 9/11,Lions,$222.40 ,$119.20 ,53.60%,$103.30 ,46.40%,2004
652,Jumper,Fox,$222.20 ,$80.20 ,36.10%,$142.10 ,63.90%,2008
653,Wild Wild West,WB,$222.10 ,$113.80 ,51.20%,$108.30 ,48.80%,1999
654,Crazy Rich Asians,WB,$221.90 ,$166.80 ,75.20%,$55.10 ,24.80%,2018
655,Geostorm,WB,$221.60 ,$33.70 ,15.20%,$187.90 ,84.80%,2017
656,Presumed Innocent,WB,$221.30 ,$86.30 ,39.00%,$135.00 ,61.00%,1990
657,Scary Movie 3,Dim.,$220.70 ,$110.00 ,49.80%,$110.70 ,50.20%,2003
658,Elf,NL,$220.40 ,$173.40 ,78.70%,$47.00 ,21.30%,2003
659,Inferno,Sony,$220.00 ,$34.30 ,15.60%,$185.70 ,84.40%,2016
660,Green Lantern,WB,$219.90 ,$116.60 ,53.00%,$103.30 ,47.00%,2011
661,The Terminal,DW,$219.40 ,$77.90 ,35.50%,$141.50 ,64.50%,2004
662,What Happens in Vegas,Fox,$219.40 ,$80.30 ,36.60%,$139.10 ,63.40%,2008
663,It's Complicated,Uni.,$219.10 ,$112.70 ,51.50%,$106.40 ,48.50%,2009
664,Knocked Up,Uni.,$219.10 ,$148.80 ,67.90%,$70.30 ,32.10%,2007
665,Captain Phillips,Sony,$218.80 ,$107.10 ,49.00%,$111.70 ,51.00%,2013
666,The Prince of Egypt,DW,$218.60 ,$101.40 ,46.40%,$117.20 ,53.60%,1998
667,Jack Reacher,Par.,$218.30 ,$80.10 ,36.70%,$138.30 ,63.30%,2012
668,The Emoji Movie,Sony,$217.80 ,$86.10 ,39.50%,$131.70 ,60.50%,2017
669,Collateral,DW,$217.80 ,$101.00 ,46.40%,$116.80 ,53.60%,2004
670,Dracula Untold,Uni.,$217.10 ,$56.30 ,25.90%,$160.80 ,74.10%,2014
671,Central Intelligence,WB (NL),$217.00 ,$127.40 ,58.70%,$89.50 ,41.30%,2016
672,Million Dollar Baby,WB,$216.80 ,$100.50 ,46.40%,$116.30 ,53.60%,2004
673,Ted 2,Uni.,$216.70 ,$81.50 ,37.60%,$135.20 ,62.40%,2015
674,The Help,BV,$216.60 ,$169.70 ,78.30%,$46.90 ,21.70%,2011
675,Twins,Uni.,$216.60 ,$111.90 ,51.70%,$104.70 ,48.30%,1988
676,Valentine's Day,WB (NL),$216.50 ,$110.50 ,51.00%,$106.00 ,49.00%,2010
677,Bad Teacher,Sony,$216.20 ,$100.30 ,46.40%,$115.90 ,53.60%,2011
678,Clear and Present Danger,Par.,$215.90 ,$122.20 ,56.60%,$93.70 ,43.40%,1994
679,101 Dalmatians,Dis.,$215.90 ,$144.90 ,67.10%,$71.00 ,32.90%,1961^
680,Bram Stoker's Dracula,Col.,$215.90 ,$82.50 ,38.20%,$133.30 ,61.80%,1992
681,Vertical Limit,Sony,$215.70 ,$69.20 ,32.10%,$146.40 ,67.90%,2000
682,Ghostbusters II,Col.,$215.40 ,$112.50 ,52.20%,$102.90 ,47.80%,1989
683,The Patriot,Sony,$215.30 ,$113.30 ,52.60%,$102.00 ,47.40%,2000
684,The Sorcerer's Apprentice,BV,$215.30 ,$63.20 ,29.30%,$152.10 ,70.70%,2010
685,Just Go With It,Sony,$214.90 ,$103.00 ,47.90%,$111.90 ,52.10%,2011
686,The Expendables 3,LGF,$214.70 ,$39.30 ,18.30%,$175.30 ,81.70%,2014
687,Public Enemies,Uni.,$214.10 ,$97.10 ,45.40%,$117.00 ,54.60%,2009
688,The Bourne Identity,Uni.,$214.00 ,$121.70 ,56.80%,$92.40 ,43.20%,2002
689,Disclosure,WB,$214.00 ,$83.00 ,38.80%,$131.00 ,61.20%,1994
690,Dirty Dancing,Vest,$214.00 ,$64.00 ,29.90%,$150.00 ,70.10%,1987^
691,Pulp Fiction,Mira.,$213.90 ,$107.90 ,50.50%,$106.00 ,49.50%,1994
692,The Aviator,Mira.,$213.70 ,$102.60 ,48.00%,$111.10 ,52.00%,2004
693,"Crouching Tiger, Hidden Dragon",SPC,$213.50 ,$128.10 ,60.00%,$85.40 ,40.00%,2000
694,Braveheart,Par.,$213.20 ,$75.60 ,35.50%,$137.60 ,64.50%,1995
695,Into the Woods,BV,$213.10 ,$128.00 ,60.10%,$85.10 ,39.90%,2014
696,Bedtime Stories,BV,$212.90 ,$110.10 ,51.70%,$102.80 ,48.30%,2008
697,Miss Congeniality,WB,$212.70 ,$106.80 ,50.20%,$105.90 ,49.80%,2000
698,Entrapment,Fox,$212.40 ,$87.70 ,41.30%,$124.70 ,58.70%,1999
699,Ace Ventura: When Nature Calls,WB,$212.40 ,$108.40 ,51.00%,$104.00 ,49.00%,1995
700,Master and Commander: The Far Side of the World,Fox,$212.00 ,$93.90 ,44.30%,$118.10 ,55.70%,2003
Rank,Title,Studio,Worldwide,Domestic / %,,Overseas / %,,Year^
701,End of Days,Uni.,$212.00 ,$66.90 ,31.60%,$145.10 ,68.40%,1999
702,Bridget Jones's Baby,Uni.,$212.00 ,$24.30 ,11.40%,$187.70 ,88.60%,2016
703,Battle: Los Angeles,Sony,$211.80 ,$83.60 ,39.40%,$128.30 ,60.60%,2011
704,Fury (2014),Sony,$211.80 ,$85.80 ,40.50%,$126.00 ,59.50%,2014
705,Due Date,WB,$211.80 ,$100.50 ,47.50%,$111.20 ,52.50%,2010
706,Kingdom of Heaven,Fox,$211.70 ,$47.40 ,22.40%,$164.30 ,77.60%,2005
707,The Little Mermaid,BV,$211.30 ,$111.50 ,52.80%,$99.80 ,47.20%,1989^
708,Australia,Fox,$211.30 ,$49.60 ,23.40%,$161.80 ,76.60%,2008
709,District 9,TriS,$210.80 ,$115.60 ,54.90%,$95.20 ,45.10%,2009
710,Moonraker,MGM,$210.30 ,$70.30 ,33.40%,$140.00 ,66.60%,1979
711,The Others,Mira.,$209.90 ,$96.50 ,46.00%,$113.40 ,54.00%,2001
712,Horrible Bosses,WB (NL),$209.60 ,$117.50 ,56.10%,$92.10 ,43.90%,2011
713,Red Dragon,Uni.,$209.20 ,$93.10 ,44.50%,$116.00 ,55.50%,2002
714,Tomorrowland,BV,$209.20 ,$93.40 ,44.70%,$115.70 ,55.30%,2015
715,Lemony Snicket's A Series of Unfortunate Events,Par.,$209.10 ,$118.60 ,56.70%,$90.40 ,43.30%,2004
716,Me Before You,WB (NL),$208.30 ,$56.20 ,27.00%,$152.10 ,73.00%,2016
717,Safe House,Uni.,$208.10 ,$126.40 ,60.70%,$81.70 ,39.30%,2012
718,S.W.A.T.,Sony,$207.70 ,$116.90 ,56.30%,$90.80 ,43.70%,2003
719,Traffic,USA,$207.50 ,$124.10 ,59.80%,$83.40 ,40.20%,2000
720,The Fast and the Furious,Uni.,$207.30 ,$144.50 ,69.70%,$62.80 ,30.30%,2001
721,Paranormal Activity 3,Par.,$207.00 ,$104.00 ,50.20%,$103.00 ,49.80%,2011
722,Philadelphia,TriS,$206.70 ,$77.40 ,37.50%,$129.20 ,62.50%,1993
723,Sleepy Hollow,Par.,$206.10 ,$101.10 ,49.00%,$105.00 ,51.00%,1999
724,London Has Fallen,Focus,$205.90 ,$62.70 ,30.40%,$143.20 ,69.60%,2016
725,The Jungle Book,Dis.,$205.80 ,$141.80 ,68.90%,$64.00 ,31.10%,1967^
726,Journey to the West,Magn.,$205.60 ,$18.1k,0.00%,$205.60 ,100.00%,2014
727,JFK,WB,$205.40 ,$70.40 ,34.30%,$135.00 ,65.70%,1991
728,White House Down,Sony,$205.40 ,$73.10 ,35.60%,$132.30 ,64.40%,2013
729,The Ugly Truth,Sony,$205.30 ,$88.90 ,43.30%,$116.40 ,56.70%,2009
730,The Holiday,Sony,$205.10 ,$63.20 ,30.80%,$141.90 ,69.20%,2006
731,The Break-Up,Uni.,$205.00 ,$118.70 ,57.90%,$86.30 ,42.10%,2006
732,Eat Pray Love,Sony,$204.60 ,$80.60 ,39.40%,$124.00 ,60.60%,2010
733,A Dog's Purpose,Uni.,$204.10 ,$64.50 ,31.60%,$139.50 ,68.40%,2017
734,King Arthur,BV,$203.60 ,$51.90 ,25.50%,$151.70 ,74.50%,2004
735,Everest (2015),Uni.,$203.40 ,$43.50 ,21.40%,$159.90 ,78.60%,2015
736,Vanilla Sky,Par.,$203.40 ,$100.60 ,49.50%,$102.80 ,50.50%,2001
737,Arrival,Par.,$203.40 ,$100.50 ,49.40%,$102.80 ,50.60%,2016
738,Need for Speed,BV,$203.30 ,$43.60 ,21.40%,$159.70 ,78.60%,2014
739,Hairspray (2007),NL,$202.50 ,$118.90 ,58.70%,$83.70 ,41.30%,2007
740,Patch Adams,Uni.,$202.30 ,$135.00 ,66.70%,$67.30 ,33.30%,1998
741,Fun with Dick and Jane,Sony,$202.00 ,$110.30 ,54.60%,$91.70 ,45.40%,2005
742,Teenage Mutant Ninja Turtles,NL,$202.00 ,$135.30 ,67.00%,$66.70 ,33.00%,1990
743,Kindergarten Cop,Uni.,$202.00 ,$91.50 ,45.30%,$110.50 ,54.70%,1990
744,Ponyo,BV,$201.80 ,$15.10 ,7.50%,$186.70 ,92.50%,2009
745,Straight Outta Compton,Uni.,$201.60 ,$161.20 ,79.90%,$40.40 ,20.10%,2015
746,21 Jump Street,Sony,$201.60 ,$138.40 ,68.70%,$63.10 ,31.30%,2012
747,Yogi Bear,WB,$201.60 ,$100.20 ,49.70%,$101.30 ,50.30%,2010
748,Garfield: The Movie,Fox,$200.80 ,$75.40 ,37.50%,$125.40 ,62.50%,2004
749,Cats & Dogs,WB,$200.70 ,$93.40 ,46.50%,$107.30 ,53.50%,2001
750,The Hunt for Red October,Par.,$200.50 ,$122.00 ,60.90%,$78.50 ,39.10%,1990
751,Valkyrie,UA,$200.30 ,$83.10 ,41.50%,$117.20 ,58.50%,2008
